,name,cook_time_minutes,country,user_ratings,description,fiber,protein,fat,calories,sugar,carbohydrates
16,Buttermilk Pancakes,,US,0.943572,"Is there any better way to start the day than with a stack of warm and <a href=""https://tasty.co/recipe/tasty-101-buttermilk-pancakes"">fluffy pancakes</a>? Buttermilk gives these cakes that signature tang, while a combination of baking powder and baking soda creates an unbeatable lift. This recipe yields perfect plain pancakes every time, but feel free to add your favorite mix-ins—like blueberries, chocolate chips, or bananas—to the batter before cooking. Bonus? Pancakes freeze well, so make a double batch and store in the freezer for easy breakfasts all week. No stovetop flipping required!",8,15,14,450,10,64
17,Creamy Lemon Chicken,,ZZ,0.96745,"Whip up this zesty Creamy Lemon Chicken for a dinner that's bursting with flavor! With tender chicken, a velvety sauce, and a hint of citrus, this dish is sure to become a weeknight favorite.",35,56,34,636,2,31
18,How To Make The Fluffiest Pancakes,,US,0.933493,"These fluffy pancakes are made with buttermilk, flour, and eggs, then topped with butter and syrup for a classic breakfast treat.",13,7,15,301,6,33
19,Spaghetti With Garlic And Oil,,US,0.920869,"Spaghetti with garlic and oil is a classic Italian dish that's quick and easy to make, with just a few simple ingredients.",1,7,10,299,1,42
20,Easy Glazed Pork Chops,,US,0.971075,Easy glazed pork chops are a quick and tasty dinner option that can be made in under 30 minutes. They are coated in a sweet and savory glaze that caramelizes on the outside of the pork chops when cooked.,0,35,37,512,8,9
21,Honey BBQ Chicken Wings,,US,0.972325,These sweet and sticky honey BBQ chicken wings are the ultimate game day food that everyone will love.,2,8,7,181,13,20
22,Microwave 5-Minute Mac 'N' Cheese,,ZZ,0.809715,The Microwave 5-Minute Mac N Cheese is a classic comfort food that can be made in just 5 minutes. This cheesy and creamy macaroni and cheese is perfect for a quick and easy lunch or dinner.,2,19,11,448,4,65
23,3-ingredient Mac & Cheese,10.0,US,0.833868,"Nothing says comforting and classic like mac and cheese. Remember when you were a little kid and you sat down at the dinner table? There it was: a glorious pot of mac and cheese. Ooey, gooey, and oh-so-delightful. Well, we’re taking you back there with our 3-ingredient mac-hack. That’s right: only three ingredients to bliss. It’s so good, you’ll never go back to the boxed stuff!",3,37,27,803,18,100
24,Easy Beef And Broccoli,,US,0.972995,"Whip up a scrumptious and satisfying meal with this Easy Beef and Broccoli recipe. You'll be savoring every bite of tender beef and crisp broccoli, all coated in a mouthwatering sauce.",1,34,17,445,14,32
25,Weekday Meal-Prep Pesto Chicken & Veggies,12.0,ZZ,0.970502,"This pesto chicken and veggies meal prep is a lifesaver for anyone who's looking for a quick and easy way to eat healthy during the week! Tender chicken breasts, green beans and tomatoes are coated in a delicious basil pesto. ",5,23,28,394,7,15
26,Weekday Meal-prep Chicken Teriyaki Stir-fry,12.0,US,0.968203,"Weekday meal prep just got easier with this chicken teriyaki stir-fry! It's quick, easy, and full of flavor - the perfect meal to power you through your busy week.",5,41,6,404,36,49
27,Chocolate Hazelnut Mug Cakes,,US,0.871513,"Whip up a decadent treat in minutes with these Chocolate Hazelnut Mug Cakes! Perfect for satisfying your sweet tooth, these gooey delights are loaded with chocolatey goodness and a hint of hazelnut.",6,15,38,729,57,79
28,Cookies and Cream Cheesecake Cookies,,US,0.902166,"Indulge in these heavenly Cookies and Cream Cheesecake Cookies that'll make your taste buds dance with delight. With a perfect blend of cream cheese and crushed cookies, this scrumptious treat is a must-try for dessert lovers.",0,2,14,239,13,26
29,Baked Churro Bites,,US,0.837328,"Crispy on the outside, soft on the inside - these bite-sized churros are a perfect treat to satisfy your sweet tooth.",0,1,2,43,0,4
30,No-Bake Cookies and Cream Cheesecake,,US,0.951964,"A smooth and creamy cheesecake that is simple to make without an oven! This dessert combines the classic flavors of chocolate and cream, and will satisfy any sweet tooth.",0,11,62,716,22,30
31,Grilled Cheese,,US,0.952615,"The secret to a perfect grilled cheese recipe? Mayonnaise! (No, really, it makes the outside crispier and tangier.) Spread butter on one side of each bread slice and mayo on the other. Sandwich the cheddar slices between the buttered sides, leaving the mayo sides on the outside. Fry for a few minutes until golden, dip into a bowl of tomato soup, and resolve to never make a grilled cheese without mayo ever again!",13,69,42,1897,27,312
32,The Fluffiest Vegan Pancakes,,US,0.96375,"These pancakes are light, fluffy, and vegan-friendly! Made with simple ingredients like flour, baking powder, and almond milk, they are the perfect way to start your day. Serve with your favorite toppings, such as maple syrup, fresh fruit, or coconut whipped cream.",1,3,1,157,4,32
33,One Skillet Ground Beef Stroganoff,,US,0.955406,"This quick and easy stroganoff recipe features ground beef, mushrooms, and egg noodles all cooked in one skillet and topped with sour cream.",2,39,41,992,17,95
34,One-Pot Taco Spaghetti,,US,0.942936,"This one-pot meal has everything you love about tacos and spaghetti in one delicious dish. Loaded with ground beef, tomatoes, and spices, it's a quick and easy meal that the whole family will love.",4,41,26,625,6,52
35,Cacio e Pepe (Spaghetti with Cheese and Pepper),,US,0.89233,"Spaghetti with cheese and pepper is a simple and delicious pasta dish, with creamy pecorino romano cheese and a sprinkle of black pepper.",1,15,21,429,1,46
36,Shrimp Spinach Bacon Alfredo,,ZZ,0.983518,"This shrimp bacon spinach alfredo is a decadent and creamy pasta dish that is perfect for a special occasion or a date night at home. With succulent shrimp, crispy bacon, and fresh spinach, this dish is both elegant and delicious. Impress your guests with this restaurant-worthy meal!",4,82,81,1413,9,102
37,Asparagus-Stuffed Chicken Breast,,ZZ,0.969904,"Boneless chicken breasts are stuffed with a mixture of asparagus, cream cheese, and Parmesan, then baked until tender and juicy.",1,35,5,209,0,2
